Name,URL,官方均价(元/㎡),min租金(元/月),max租金(元/月),avg租金(元/月),房子数/租金样本数量,租房最小面积(㎡),租房最大面积(㎡),租房平均面积(㎡),二手房样本数量,min二手房价(万元),max二手房价(万元),avg二手房价(万元),min二手房均价(元/㎡),max二手房均价(元/㎡),avg二手房均价(元/㎡)
太原,https://ty.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,60,17.8,32,27.44166667,1836,4572,2991.266667
锡林郭勒盟,https://xilinguole.anjuke.com/,-1,600,30000,6214.016393,61,50,175,90.94918033,60,17,25,23.02833333,1783,3572,3002.433333
长葛,https://changge.anjuke.com/,-1,400,3000,1133.316667,60,30,300,100.6666667,60,18,42,34.17666667,1637,4942,3013.1
谷城,https://gucheng.anjuke.com/,-1,375,4200,1130.823529,17,30,138.6,106.5647059,60,18,36,32.17666667,1802,4258,3018.55
伊川,https://yichuan.anjuke.com/,-1,260,1700,1181.851852,27,22,160,112.1,60,23,47,38.75,2308,4737,3029.333333
桐城,https://tongcheng.anjuke.com/,-1,300,6500,1192.942029,69,35,200,92.7057971,60,15,29.8,25.43,1403,4143,3048.55
项城市,https://xiangchengshi.anjuke.com/,-1,260,22000,2464.366667,60,25,320,114.245,60,24,38,32.40833333,2250,3867,3057.666667
安丘,https://anqiu.anjuke.com/,-1,260,10000,1028.208955,67,45,240,86.3880597,60,18.8,26,23.835,2297,3686,3086.883333
阳春,https://yangchun.anjuke.com/,-1,430,6500,1765.467742,62,25,400,105.2806452,60,15,29.8,26.76833333,2000,4028,3087.916667
百色,https://baise.anjuke.com/,-1,480,28000,2188.833333,60,12,600,98.015,60,20,30,26.765,1954,4143,3110.283333
铜仁,https://tongren.anjuke.com/,-1,450,30000,2246.876923,65,16,800,102.1384615,60,20,29,27.01666667,2206,4000,3145.066667
栖霞,https://qixia.anjuke.com/,-1,260,1500,798.1818182,22,50,160,84.27272727,60,16.8,31,25.83816667,2095,4055,3147.966667
荣成市,https://rongchengshi.anjuke.com/,-1,500,4500,1412.225,80,42,153,87.18625,60,12,28,25.20966667,1548,4000,3160.066667
肥城市,https://feichengshi.anjuke.com/,-1,400,1700,1080,65,45,150,89.94923077,60,19.8,33,27.1065,2106,4572,3169.966667
松滋,https://songzi.anjuke.com/,-1,280,14300,1303.411765,34,25,260,100.2352941,60,15.8,39.8,31.37966667,1725,5115,3174.616667
永城,https://hnyongcheng.anjuke.com/,-1,350,14000,1446.183333,60,46,145,89.08166667,60,14,39.8,30.18666667,1324,5000,3178.016667
阜宁,https://funing.anjuke.com/,-1,420,12000,1844.384615,65,24,153,80.76,60,16.8,32.8,27.58833333,1556,4374,3178.466667
孝昌,https://xiaochangxian.anjuke.com/,-1,400,10000,1744.324324,37,40,220,91.42432432,60,23,36,30.51,2188,4375,3187.45
