Name,URL,官方均价(元/㎡),min租金(元/月),max租金(元/月),avg租金(元/月),房子数/租金样本数量,租房最小面积(㎡),租房最大面积(㎡),租房平均面积(㎡),二手房样本数量,min二手房价(万元),max二手房价(万元),avg二手房价(万元),min二手房均价(元/㎡),max二手房均价(元/㎡),avg二手房均价(元/㎡)
德清,https://deqingxian.anjuke.com/,-1,800,8000,2559.1666666666665,60,25.0,180.0,105.49,60,26.0,60.0,55.38999999999999,3715,8286,6645.883333333333
东海,https://donghaixian.anjuke.com/,-1,250,13000,1675.8105263157895,95,18.0,500.0,97.68,60,33.0,76.8,63.03666666666668,3600,10972,6838.516666666666
单县,https://danxian.anjuke.com/,-1,400,18000,2893.016666666667,60,15.0,300.0,104.25,60,16.0,40.0,32.843333333333334,2128,4591,3551.75
凤城,https://ddfengcheng.anjuke.com/,-1,450,2500,978.9166666666666,60,32.0,168.0,60.404999999999994,60,15.0,30.0,26.19333333333333,2119,4167,3373.6
禹城,https://dzyucheng.anjuke.com/,-1,500,1700,1072.5,60,30.0,150.0,101.54833333333335,60,28.0,47.0,40.580000000000005,2800,5867,4636.366666666667
大竹,https://dazhu.anjuke.com/,-1,460,13500,1384.986111111111,72,30.0,155.0,83.10277777777777,60,22.8,30.8,28.333333333333318,2221,4286,3445.4666666666667
定边,https://dingbianxian.anjuke.com/,-1,1830,20000,5766.0,6,15.0,139.0,92.5,8,52.5,96.0,67.4375,3867,5963,4959.875
东明,https://dongmingxian.anjuke.com/,-1,750,20000,4171.791666666667,24,50.0,360.0,127.89999999999999,60,24.1,52.0,42.20166666666667,2678,5648,4043.75
东平,https://dongpingxian.anjuke.com/,-1,350,1250,793.3,50,23.0,135.0,94.90799999999999,60,33.0,67.0,57.62166666666666,4521,8462,5982.283333333334
大悟,https://dawuxian.anjuke.com/,-1,650,12000,3522.5,8,50.0,126.0,95.25,19,24.0,90.0,44.26315789473684,1859,6618,3683.2105263157896
鄂尔多斯,https://eerduosi.anjuke.com/,7351,1250,25000,4395.061224489796,49,75.0,140.0,109.0204081632653,59,16.0,25.0,22.769491525423728,1740,3572,2913.2542372881358
恩施,https://enshi.anjuke.com/,6316,400,4800,1600.735294117647,68,20.0,197.0,90.64705882352939,60,21.8,35.0,30.26833333333332,2067,4695,3410.516666666667
鄂州,https://ezhou.anjuke.com/,5747,450,1500,1129.5,60,50.0,1350.0,96.95666666666666,60,16.0,20.5,19.185333333333332,2152,2858,2452.4166666666665
恩平,https://enping.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
峨眉山,https://emeishan.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
佛山,https://foshan.anjuke.com/,13117,999,1400,1262.8666666666666,60,35.0,90.0,64.10666666666667,60,18.9,23.0,21.071500000000004,2321,3286,2539.6833333333334
福州,https://fz.anjuke.com/,23754,1000,1500,1432.5,60,35.0,90.0,60.18333333333333,60,1.0,37.0,29.196666666666665,82,4671,3700.266666666667
阜阳,https://fuyang.anjuke.com/,7915,600,1250,1076.8166666666666,60,60.0,117.0,86.815,60,15.0,28.1,25.334999999999997,1305,4000,2815.2
抚顺,https://fushun.anjuke.com/,5002,700,1500,1251.6666666666667,60,45.0,110.0,79.18666666666667,60,6.5,15.0,12.719999999999999,874,2143,1602.1833333333334
阜新,https://fuxin.anjuke.com/,4082,400,2700,934.5671641791045,67,20.0,140.0,60.273134328358196,60,4.8,11.5,9.071333333333333,624,1572,1166.9333333333334
抚州,https://fuzhoushi.anjuke.com/,8068,420,3000,1382.0,64,20.0,150.0,88.1703125,60,29.8,43.0,39.56833333333332,3000,6143,4998.8
防城港,https://fangchenggang.anjuke.com/,-1,300,3000,1026.4473684210527,76,25.0,315.0,93.15263157894738,60,17.0,27.0,24.075999999999997,2097,3662,2853.85
肥城市,https://feichengshi.anjuke.com/,-1,400,1700,1080.0,65,45.0,150.0,89.94923076923077,60,19.8,33.0,27.106499999999993,2106,4572,3169.9666666666667
丰城,https://fengchengshi.anjuke.com/,-1,500,2580,1130.8196721311476,61,40.0,160.0,100.91967213114755,60,32.0,60.0,51.47,3637,8000,5769.916666666667
福清,https://fuqing.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
福安,https://fuan.anjuke.com/,-1,500,4200,1936.8333333333333,60,32.0,270.0,96.1,60,30.0,37.0,34.42166666666667,3897,5000,4596.15
福鼎,https://fuding.anjuke.com/,-1,900,11000,2005.8533333333332,75,20.0,275.0,85.96,60,49.8,76.0,69.19483333333334,5883,10134,8174.716666666666
范县,https://fanxian.anjuke.com/,-1,400,13000,1796.64,25,30.0,165.0,110.52,36,28.0,118.5,58.50833333333334,3261,5985,4844.222222222223
分宜,https://fenyixian.anjuke.com/,-1,400,1100,833.3333333333334,3,60.0,120.0,86.66666666666667,60,35.0,62.0,53.31666666666667,3500,6850,5178.483333333334
扶余,https://fuyushi.anjuke.com/,-1,600,8500,3400.0,3,42.0,89.0,69.66666666666667,60,16.0,42.8,33.426666666666655,1721,4776,3744.616666666667
阜宁,https://funing.anjuke.com/,-1,420,12000,1844.3846153846155,65,24.0,153.0,80.75999999999999,60,16.8,32.8,27.588333333333313,1556,4374,3178.4666666666667
浮梁,https://fuliang.anjuke.com/,-1,500,2500,1436.8852459016393,61,26.0,300.0,109.43114754098362,60,26.0,54.0,47.41966666666668,3000,7084,5281.5
府谷,https://fuguxian.anjuke.com/,-1,3585,3585,3585.0,1,145.0,145.0,145.0,3,43.0,180.0,93.66666666666667,2811,11043,8036.75
广州,https://guangzhou.anjuke.com/,31565,800,1700,1499.8,60,35.0,95.0,66.98500000000001,60,3.0,36.0,26.81266666666667,242,4858,3080.2166666666667
贵阳,https://gy.anjuke.com/,8882,1000,1600,1464.0,60,46.0,110.0,70.81333333333332,60,14.5,31.8,27.41333333333332,1687,4185,3305.15
桂林,https://guilin.anjuke.com/,6710,600,2000,1291.3333333333333,60,40.0,100.0,76.65,60,19.0,28.8,26.44833333333333,2478,4072,3365.3333333333335
赣州,https://ganzhou.anjuke.com/,8488,800,2200,1694.9833333333333,60,50.0,105.0,77.55,60,21.8,39.8,35.85333333333333,1986,5686,4177.033333333334
广安,https://guangan.anjuke.com/,5907,800,20000,1464.1272727272728,55,35.0,90.0,73.68727272727273,60,16.0,24.5,21.415,1487,3429,2759.8333333333335
贵港,https://guigang.anjuke.com/,6177,200,2800,1374.4444444444443,81,18.0,230.0,77.84567901234568,60,25.0,35.05,32.4625,2755,5000,3996.266666666667
广元,https://guangyuan.anjuke.com/,6953,350,3000,1425.78125,64,40.0,185.0,96.7609375,60,22.0,38.0,33.806666666666665,2392,5282,4176.616666666667
甘孜,https://ganzi.anjuke.com/,-1,800,4800,1927.450980392157,51,15.0,700.0,116.86470588235295,60,37.0,66.0,61.08833333333334,4806,9115,7173.983333333334
甘南,https://gannan.anjuke.com/,-1,1200,4500,2035.7142857142858,14,70.0,280.0,120.29285714285713,INIT,INIT,INIT,INIT,INIT,INIT,INIT
馆陶,https://guantao.anjuke.com/,-1,400,400,400.0,1,40.0,40.0,40.0,3,73.0,88.0,78.33333333333333,4741,6719,5600.666666666667
果洛,https://guoluo.anjuke.com/,-1,400,400,400.0,1,50.0,50.0,50.0,INIT,INIT,INIT,INIT,INIT,INIT,INIT
固原,https://guyuan.anjuke.com/,-1,350,5000,1340.4761904761904,63,20.0,210.0,97.7111111111111,60,19.0,34.0,27.755,2337,4429,3393.8333333333335
公主岭市,https://gongzhulingshi.anjuke.com/,-1,500,15000,3321.151515151515,33,30.0,140.0,73.32121212121211,60,11.5,42.5,30.083333333333332,1618,6000,3730.05
高邮,https://gaoyou.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
高密市,https://gaomishi.anjuke.com/,-1,400,2500,1216.3846153846155,65,45.0,150.0,96.76923076923077,60,21.0,35.0,31.334999999999994,3000,4715,3946.05
格尔木,https://geermu.anjuke.com/,-1,600,2500,1343.3333333333333,60,39.0,147.0,80.28333333333333,60,20.0,31.0,27.955,2609,4429,3606.016666666667
广汉,https://guanghan.anjuke.com/,-1,450,2600,1431.09375,64,45.0,135.8,88.753125,60,19.0,27.2,24.624666666666663,2597,3886,3348.15
桂平,https://guiping.anjuke.com/,-1,750,2600,1634.4615384615386,65,11.0,148.0,102.71076923076923,60,27.0,45.0,39.48683333333334,2755,5973,4411.166666666667
高安,https://gaoanshi.anjuke.com/,-1,350,16000,1263.1666666666667,60,25.0,400.0,95.13166666666667,60,35.0,58.0,49.44333333333334,3325,7369,5773.883333333333
高碑店,https://gaobeidian.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
固始,https://gushixian.anjuke.com/,-1,200,2000,903.8833333333333,60,30.0,180.0,93.0,60,12.5,26.6,23.376666666666658,1567,3715,2181.15
